time,symbol,score,signal,position,action,close_price
2025-10-19 12:00:00,BTC,50.3,中性,flat,hold,107046.9
2025-10-19 12:00:00,ETH,60.8,多,flat,reduce_short,3903.27
2025-10-19 12:00:00,SOL,69.0,多,long,open_long,186.83
2025-10-19 16:00:00,BTC,34.1,空,short,open_short,106443.95
2025-10-19 16:00:00,ETH,32.3,空,short,open_short,3863.3
2025-10-19 16:00:00,SOL,41.9,空,flat,reduce_long,184.17
2025-10-19 20:00:00,BTC,89.5,多,flat,reduce_short,107631.43
2025-10-19 20:00:00,ETH,64.3,多,flat,reduce_short,3923.13
2025-10-19 20:00:00,SOL,80.3,多,long,open_long,188.89
2025-10-20 00:00:00,BTC,100.0,多,long,open_long,108624.19
2025-10-20 00:00:00,ETH,98.8,多,long,open_long,3981.01
2025-10-20 00:00:00,SOL,88.6,多,long,hold,190.87
2025-10-20 04:00:00,BTC,94.7,多,flat,reduce_long,108845.06
2025-10-20 04:00:00,ETH,96.0,多,flat,reduce_long,4001.13
2025-10-20 04:00:00,SOL,73.0,多,flat,reduce_long,189.67
2025-10-20 08:00:00,BTC,68.6,多,long,open_long,108047.46
2025-10-20 08:00:00,ETH,81.4,多,long,open_long,3941.76
2025-10-20 08:00:00,SOL,50.1,中性,flat,hold,185.62
2025-10-20 12:00:00,BTC,100.0,多,long,hold,110422.1
2025-10-20 12:00:00,ETH,99.1,多,long,hold,4054.4
2025-10-20 12:00:00,SOL,84.5,多,long,open_long,192.17
2025-10-20 16:00:00,BTC,98.8,多,flat,reduce_long,111097.15
2025-10-20 16:00:00,ETH,84.5,多,flat,reduce_long,4045.42
2025-10-20 16:00:00,SOL,78.8,多,flat,reduce_long,193.0
2025-10-20 20:00:00,BTC,78.8,多,long,open_long,110843.81
2025-10-20 20:00:00,ETH,83.8,多,long,open_long,4037.64
2025-10-20 20:00:00,SOL,71.9,多,long,open_long,192.76
2025-10-21 00:00:00,BTC,79.2,多,long,hold,110683.19
2025-10-21 00:00:00,ETH,49.4,中性,flat,reduce_long,3949.4
2025-10-21 00:00:00,SOL,26.8,空,flat,reduce_long,187.54
2025-10-21 04:00:00,BTC,94.2,多,long,hold,111091.46
2025-10-21 04:00:00,ETH,88.3,多,long,open_long,3998.45
2025-10-21 04:00:00,SOL,78.7,多,long,open_long,190.51
2025-10-21 08:00:00,BTC,77.2,多,flat,reduce_long,110446.69
2025-10-21 08:00:00,ETH,81.3,多,flat,reduce_long,3972.14
2025-10-21 08:00:00,SOL,75.5,多,flat,reduce_long,189.0
2025-10-21 12:00:00,BTC,7.7,空,short,open_short,107779.7
2025-10-21 12:00:00,ETH,7.2,空,short,open_short,3851.0
2025-10-21 12:00:00,SOL,13.1,空,short,open_short,183.75
2025-10-21 16:00:00,BTC,6.3,空,short,hold,107695.79
2025-10-21 16:00:00,ETH,7.6,空,flat,reduce_short,3867.99
2025-10-21 16:00:00,SOL,24.4,空,flat,reduce_short,184.29
2025-10-21 20:00:00,BTC,61.8,多,flat,reduce_short,108793.4
2025-10-21 20:00:00,ETH,7.9,空,short,open_short,3880.9
2025-10-21 20:00:00,SOL,21.8,空,short,open_short,186.48
2025-10-22 00:00:00,BTC,100.0,多,long,open_long,112565.88
2025-10-22 00:00:00,ETH,98.4,多,flat,reduce_short,4029.19
2025-10-22 00:00:00,SOL,83.8,多,flat,reduce_short,192.6
2025-10-22 04:00:00,BTC,16.9,空,flat,reduce_long,110787.56
2025-10-22 04:00:00,ETH,39.0,空,short,open_short,3954.2
2025-10-22 04:00:00,SOL,57.5,多,long,open_long,191.4
